,GAP,,,,8.2%,-0.8%,2.4%,,,,,,
seg_06,PG,269,100.0%,100.0%,99.6%,91.1%,93.7%,20,-3,9,26,,
,CG,"37,141",100.0%,100.0%,92.3%,92.2%,90.3%,,,,,,
,GAP,,,,7.4%,-1.1%,3.4%,,,,,,
seg_07,PG,116,100.0%,100.0%,100.0%,90.5%,96.6%,8,-3,6,11,,
,CG,"30,337",100.0%,100.0%,93.4%,93.0%,91.2%,,,,,,
,GAP,,,,6.6%,-2.5%,5.4%,,,,,,
seg_08,PG,462,100.0%,100.0%,99.4%,90.3%,91.6%,36,-5,12,43,,
,CG,"49,816",100.0%,100.0%,91.5%,91.3%,89.0%,,,,,,
,GAP,,,,7.8%,-1.0%,2.6%,,,,,,
seg_09,PG,122,100.0%,100.0%,99.2%,88.5%,94.3%,9,-4,6,11,,
,CG,"15,817",100.0%,100.0%,91.8%,91.5%,89.4%,,,,,,
,GAP,,,,7.4%,-3.0%,4.8%,,,,,,
seg_10,PG,381,100.0%,100.0%,100.0%,94.0%,94.2%,25,2,8,35,,
,CG,"77,197",100.0%,100.0%,93.6%,93.4%,92.1%,,,,,,
,GAP,,,,6.4%,0.5%,2.1%,,,,,,
TOTAL,PG,"2,520",86.1%,99.7%,99.6%,90.6%,91.4%,286,53,134,473,,
,CG,"366,581",86.0%,99.7%,88.2%,88.5%,86.1%,,,,,,
,GAP,,,,11.3%,2.1%,5.3%,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Seg별 영향도 있는 지표(Tree Split 분리 조건) 현황 입니다.,,,,,,,,,,,,,
,,,,,,,,,,,,,
SEG,회원수,,신판이용개월,성별,갱신차월,디지털인덱스,관여도,포텐셜,로열티,,,,
,,비중,,,,,,,,,,,
,(명),%,,,,,,,,,,,
seg_01,359,14.2%,1 ↓,,,,,,,,,,
seg_09,122,4.8%,2 ↑,['1'],5.36 ↓,,,,,,,,
seg_06,269,10.7%,-,-,5.36 - 21.25,7 ↓,,,,,,,
seg_07,116,4.6%,-,-,-,8 ↑,,,,,,,
seg_10,381,15.1%,-,-,21.25 ↑,,,,,,,,
seg_02,194,7.7%,-,['2'],,,4 ↓,3379.4 ↓,,,,,
seg_03,307,12.2%,-,-,,,5 ↑,-,0.25 ↓,,,,
seg_04,106,4.2%,-,-,,,-,-,0.25 ↑,,,,
seg_05,204,8.1%,-,-,,,,3379.4 - 4135.03,,,,,
seg_08,462,18.3%,-,-,,,,4135.03 ↑,,,,,
TOTAL,"2,520",100.0%,,,,,,,,,,,
